message,subject,intent,issue
We cannot contact them,,Exchange / Replacement,Exchange / Replacement - We cannot contact them
Helpful,,UnProfessional Behaviour,UnProfessional Behaviour - Helpful 
Please give one option to direct call with customer care,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please give one option to direct call with customer care
Fine,,Online Payment Issues,Online Payment Issues - Fine
Even after conveying the problem still I was sent the wrong product. What a waste of time and money! Really disappointed in the service and handling by the seller,,Not Needed,Not Needed - Even after conveying the problem still I was sent the wrong product. What a waste of time and money!
good,,Fraudulent User,Fraudulent User - good
always pay back customer in term of money if you are wasting his time,,Product Specific Information,Product Specific Information - always pay back customer in term of money if you are wasting his time 
Product send good kwality,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Product send good kwality 
"Nothing solved. No clarity on what was being explained. I said that refund should happen to my card, she is talking about EGC.",,Online Payment Issues,"Online Payment Issues - Nothing solved. No clarity on what was being explained. I said that refund should happen to my card,"
Very nice,,Fraudulent User,Fraudulent User - Very nice
Too late for issue solve,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Too late for issue solve
Don't give bogus replies? Like in 7 Aug you're writing the matter will be resolved by 30 June,,Fraudulent User,Fraudulent User - Don't give bogus replies? Like in 7 Aug you're writing the matter will be resolved by 30 June
Customer service very helpful,,Order status enquiry,Order status enquiry - Customer service very helpful 
I am happy your service,,Seller Cancelled Order,Seller Cancelled Order - I am happy your service
"customer executive just repeating what is written in the appDoes not go beyond that, then what is the point of talking to a human.",,Order status enquiry,"Order status enquiry - customer executive just repeating what is written in the appDoes not go beyond that, then what is th"
Force to all seller to sell his product to all pin codes,,Product Specific Information,Product Specific Information - Force to all seller to sell his product to all pin codes
,,Installation/demo,Installation/demo - None 
"Just the way they speak, shows the main concer is to answer the call, and customer has 0 value",,Exchange / Replacement,"Exchange / Replacement - Just the way they speak, shows the main concer is to answer the call, and customer has 0 value"
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Good,,Missing,Missing - Good
Just solve the issue within the first date of declaration.,,Not Needed,Not Needed - Just solve the issue within the first date of declaration.
Good job,,UnProfessional Behaviour,UnProfessional Behaviour - Good job 
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Osm,,Installation/demo,Installation/demo - Osm
No improvement required.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - No improvement required.
Very poor experience,,Delayed,Delayed - Very poor experience
Thanku for helping,,Order status enquiry,Order status enquiry - Thanku for helping
Correct Shopzilla's policy to the extent that no customer would have to suffer inconvenience due to miscommunication between logistics team and Shopzilla agents.,,Fraudulent User,Fraudulent User - Correct Shopzilla's policy to the extent that no customer would have to suffer inconvenience due to 
Good service,,Return request,Return request - Good service 
Effective and quick response.,,Not Needed,Not Needed - Effective and quick response.
Please check details provided by seller carefully.Details given for same was different on site and what they provided.So please be careful with all this.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please check details provided by seller carefully.Details given for same was different on site and w
Great job ?? i am so happy with supported Customer,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Great job ?? i am so happy with supported Customer 
Refund fast,,Refund Enquiry,Refund Enquiry - Refund fast 
Agent give me proper resolution,,Return request,Return request - Agent give me proper resolution 
It was quite good call from the fip,,Product Specific Information,Product Specific Information - It was quite good call from the fip  
I think this Person Can handle any difficult situations her lovely voice and work.,,Invoice request,Invoice request - I think this Person Can handle any difficult situations her lovely voice and work.
Solve my matter,,Fraudulent User,Fraudulent User - Solve my matter
Please return,,Refund Related Issues,Refund Related Issues - Please return 
Great,,Fraudulent User,Fraudulent User - Great 
??,,Refund Related Issues,Refund Related Issues - ??
Super good,,Signup Issues,Signup Issues - Super good 
Na,,Shopzila Premium Related,Shopzila Premium Related - Na
No comments ...just I say very good,,Fraudulent User,Fraudulent User - No comments ...just I say very good 
Satisfied,,Return request,Return request - Satisfied
Hope my issue solved as soon as possible...,,Missing,Missing - Hope my issue solved as soon as possible...
No proper information available.,,Delayed,Delayed - No proper information available.
Thanks Shopzilla,,Return request,Return request - Thanks Shopzilla 
Good work ??,,UnProfessional Behaviour,UnProfessional Behaviour - Good work ??
Customer executive speak me sir please hold sometime I checked your order info but I hold on call 10 minute after your costumer executive is not give me any response I speak hello again and again but no response ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Customer executive speak me sir please hold sometime I checked your order info but I hold on call 10
Good,,Online Payment Issues,Online Payment Issues - Good
Very nice ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very nice ??
Good ??,,Service Centres Related,Service Centres Related - Good ??
Fake scam,,General Enquiry,General Enquiry - Fake scam
Delevery boys not sport,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Delevery boys not sport
Good supporting,,Order status enquiry,Order status enquiry - Good supporting
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
This service is very bad ????,,Exchange / Replacement,Exchange / Replacement - This service is very bad ????
Damage product,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Damage product
Thank you for solving my problem,,Return request,Return request - Thank you for solving my problem 
Thanks,,Delayed,Delayed - Thanks 
All good,,Order status enquiry,Order status enquiry - All good 
All The Customer Care Are Very Lazy And Not Done Work Properly,,Order status enquiry,Order status enquiry - All The Customer Care Are Very Lazy And Not Done Work Properly 
NIL,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - NIL
Excellent performance,,Order status enquiry,Order status enquiry - Excellent performance 
Great,,Fraudulent User,Fraudulent User - Great 
Very good conversation,,Order status enquiry,Order status enquiry - Very good conversation
Very nice,,Refund Enquiry,Refund Enquiry - Very nice 
Good,,Return request,Return request - Good 
Good,,Product Specific Information,Product Specific Information - Good 
Thanks ??,,Priority delivery,Priority delivery - Thanks ??
Thank you,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you 
Option of exchange to my original choice was not allowed,,Order status enquiry,Order status enquiry - Option of exchange to my original choice was not allowed 
Arrenge fast pickup product,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Arrenge fast pickup product 
Good and helping ??,,Signup Issues,Signup Issues - Good and helping ??
Nice customer support,,Return request,Return request - Nice customer support 
The make the fool of the costumers.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - The make the fool of the costumers. 
??????,,Installation/demo,Installation/demo - ??????
Ekadam bakwas,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Ekadam bakwas
He doesn't know except raising request. Even after multiple request if issue still persist then excutive doesn't know what to do next. He and his system is flawless.,,Installation/demo,Installation/demo - He doesn't know except raising request. Even after multiple request if issue still persist then excu
This name diksha very poor service I request you this employee are fired,,Return request,Return request - This name diksha very poor service I request you this employee are fired 
Not good ????,,Return cancellation,Return cancellation - Not good ????
What use is your customer executive if you've just appointed them to repeatedly keep saying sorry and we will look into this as they are required to provide with a resolve instead of not listening and continually saying sorry for your experience it will not happen in future where I am concerned about the matter in the present but they keep assuring for future which is also termed as bullshit.,,Delayed,Delayed - What use is your customer executive if you've just appointed them to repeatedly keep saying sorry an
I am very happy,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I am very happy
Thanks,,Product Specific Information,Product Specific Information - Thanks
Nice Supporter,,Delayed,Delayed - Nice Supporter
Respected Sir next time ka item correct.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Respected Sir next time ka item correct.
Very nice parson,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very nice parson 
Please add gift wrap options just like your competitors !,,Product Specific Information,Product Specific Information - Please add gift wrap options just like your competitors !
Thanks for assisting at this time so sorry for the late call but thank you so much for the help one thing only your voice echoed so it was little difficult to hear.. just a small advice thanks a lot for the help,,Customer Requested Modifications,Customer Requested Modifications - Thanks for assisting at this time so sorry for the late call but thank you so much for the help one 
Paras sir,,Order status enquiry,Order status enquiry - Paras sir 
Thanks,,Damaged,Damaged - Thanks
Sowmya is very keen to resolve the issue,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Sowmya is very keen to resolve the issue
At your end my pay later service is stoped by bank and bank is say it is stoped by Shopzilla. And I crosscheck it is active in bank and not blocked by bank it is stoped by your side. So please resume it .,,General Enquiry,General Enquiry - At your end my pay later service is stoped by bank and bank is say it is stoped by Shopzilla. And I 
Good,,Billing Related,Billing Related - Good 
Thank you for my support Shopzilla customer care,,Delayed,Delayed - Thank you for my support Shopzilla customer care
There should be an option to give the feedback for vendor as well. This is the 3rd instance is past couple of days with the same vendor. Wrong size is shipped. Customers misses discount on return,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - There should be an option to give the feedback for vendor as well. This is the 3rd instance is past 
Nice feedback,,Priority delivery,Priority delivery - Nice feedback 
Very nice,,Order status enquiry,Order status enquiry - Very nice
Bahut hi chutiya company hai Bharat lifestyle bed,,Affiliate Offers,Affiliate Offers - Bahut hi chutiya company hai Bharat lifestyle bed
All good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - All good
??? ???? ?? ????? ??,,Installation/demo,Installation/demo - ??? ???? ?? ????? ?? 
Kya he bole,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Kya he bole
Satisfied,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Satisfied 
Thanks for the help,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thanks for the help
Costumer executive,,Return request,Return request - Costumer executive 
Your senior executive drops the call in between without resolving the issue.For example   and Mr,,Service Centres Related,Service Centres Related - Your senior executive drops the call in between without resolving the issue.For example   and Mr  
Good communication ??,,Refund Related Issues,Refund Related Issues - Good communication ??
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Call PE baat karne wale bhaiya ne achha samajaya,,Return request,Return request - Call PE baat karne wale bhaiya ne achha samajaya
Very unresponsive system,,Delayed,Delayed - Very unresponsive system 
Not satisfied with the feedback.Got call twice from customercare but no proper resolution.,,Refund Related Issues,Refund Related Issues - Not satisfied with the feedback.Got call twice from customercare but no proper resolution.
Mostly your executives hung up the call when they fell they don't have an answer to give.,,Installation/demo,Installation/demo - Mostly your executives hung up the call when they fell they don't have an answer to give. 
"i m satisfied to talked with Shopzilla customer care representative,he has easily understand my concern, hope so it's resolved earlier",,Delayed,"Delayed - i m satisfied to talked with Shopzilla customer care representative,he has easily understand my conc"
support,,UnProfessional Behaviour,UnProfessional Behaviour -   support 
company,,Reverse Pickup Enquiry,Reverse Pickup Enquiry -   company
Thx,,Wrong,Wrong - Thx
Worst in delivery promise date,,Delayed,Delayed - Worst in delivery promise date
Atleast if we are receiving damaged item in open box delivery. Then refund should be issued immediately.,,Order status enquiry,Order status enquiry - Atleast if we are receiving damaged item in open box delivery. Then refund should be issued immediat
"You have to clear about your policy, I'm purchased a product with return policy but after delivery I'm not able to return this is not fair",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - You have to clear about your policy, I'm purchased a product with return policy but after delivery I"
"Product show return available and then not allowing me to initiate return with any response , this is misguiding",,Fraudulent User,"Fraudulent User - Product show return available and then not allowing me to initiate return with any response , this i"
The service was very good. The representative heared me well and took ownership to resolve my issue in time. Thanks a lot for understand my issue and making a quick resolution,,Return request,Return request - The service was very good. The representative heared me well and took ownership to resolve my issue 
Person was great,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Person was great
Nice,,Order status enquiry,Order status enquiry - Nice 
Customer care is not slove my problems properly .,,Seller Cancelled Order,Seller Cancelled Order - Customer care is not slove my problems properly . 
Executive behaviour is good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Executive behaviour is good 
Please add Password option for Shopzilla account for now there is only OTP option available to   in account beacuse of that someone hacked my account recently and mis used my pay later account.,,General Enquiry,General Enquiry - Please add Password option for Shopzilla account for now there is only OTP option available to   in 
Hello Shopzilla team I have not received my product you getting so long time to deliver my order and why you are taken 5 to 10 days to deliver my any orders and way SuperBuy has only take minimum 2 days to deliver any orders? Tell me the reason otherwise I will not order any product with you Shopzilla.,,Order status enquiry,Order status enquiry - Hello Shopzilla team I have not received my product you getting so long time to deliver my order and
Invoice should be made available on purchase,,Order status enquiry,Order status enquiry - Invoice should be made available on purchase
After sale service very poor,,Technician Visit,Technician Visit - After sale service very poor
Change my delivery address,,Order status enquiry,Order status enquiry - Change my delivery address 
Please throw the person who came for pickup bcoz he wash very bad he misbehaving twice with me. Plz resolved my issue ASAP.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please throw the person who came for pickup bcoz he wash very bad he misbehaving twice with me. Plz 
I am bad??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I am bad??
She is not listening my problem carefully,,Call disconnected,Call disconnected - She is not listening my problem carefully 
Please give better service... Don't break trust of customer and don't cheat.,,Fraudulent User,Fraudulent User - Please give better service... Don't break trust of customer and don't cheat. 
Good ??????,,Order status enquiry,Order status enquiry - Good ??????
The customer executive who contacted me was very polite and helped me resolve my query. .,,Order status enquiry,Order status enquiry - The customer executive who contacted me was very polite and helped me resolve my query. .
Good,,General Enquiry,General Enquiry - Good 
Good support,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good support 
show the actual price the customer have to pay after using Shopzilla paylater service ...The bank is charging more 17.70 rupees ...I am very unhappy with this hidden charges,,Payment related Queries,Payment related Queries - show the actual price the customer have to pay after using Shopzilla paylater service ...The bank is
Not received,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Not received 
Plz assure that the products u going to deliver is not detective.,,Return request,Return request - Plz assure that the products u going to deliver is not detective. 
Koi help nahi,,Delayed,Delayed - Koi help nahi 
I really appreciate the effort you guys put on resolving the issue of the customer ??,,Payment related Queries,Payment related Queries - I really appreciate the effort you guys put on resolving the issue of the customer ??
Solve the problem within a day,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Solve the problem within a day
Thank you very good behavior,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you very good behavior
Very good man sweetly tack to me,,Return request,Return request - Very good man sweetly tack to me
Good,,Product Specific Information,Product Specific Information - Good 
Mam voice are so cute,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Mam voice are so cute 
Bekar jhuta chor company dokhebaaz sinner agent   the,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Bekar jhuta chor company dokhebaaz sinner agent   the
Excellent performance,,Instant discount,Instant discount - Excellent performance 
Very good response,,Refund Enquiry,Refund Enquiry - Very good response 
My query isn't resolved till now please contact me,,Order status enquiry,Order status enquiry - My query isn't resolved till now please contact me
Very good resolved,,Wrong,Wrong - Very good resolved 
Need to work on communication,,Order status enquiry,Order status enquiry - Need to work on communication 
Happy with the polite response of the consultant and the way he handled the matter professionally. Thank you,,Fraudulent User,Fraudulent User - Happy with the polite response of the consultant and the way he handled the matter professionally. T
Support executive was good,,Return request,Return request - Support executive was good
Good,,Order status enquiry,Order status enquiry - Good 
Please send my invoice copy,,Invoice request,Invoice request - Please send my invoice copy
Loal language,,UnProfessional Behaviour,UnProfessional Behaviour - Loal language 
Thank you for customer service it's very good he handles good good thankyou so much for customer support with me he say my refund order and he also say my refund my money thankyou to customer service thanks alot...,,Wrong,Wrong - Thank you for customer service it's very good he handles good good thankyou so much for customer sup
Very Good,,UnProfessional Behaviour,UnProfessional Behaviour - Very Good 
Return/ replacement policies are horrible.My return was rejected multiple time before any attempt to pick up the product.Also exchange policy is required if exchange is required with any other product than replacement of same,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Return/ replacement policies are horrible.My return was rejected multiple time before any attempt to
Thanks,,Delayed,Delayed - Thanks
This is the last time I am ordering from Shopzilla,,Delayed,Delayed - This is the last time I am ordering from Shopzilla 
doing open scam.,,Refund Related Issues,Refund Related Issues -   doing open scam.
I found everything fantastic.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I found everything fantastic. 
Very fake very disgusting survice provided by Shopzilla,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very fake very disgusting survice provided by Shopzilla 
Very good and I am happy,,Return cancellation,Return cancellation - Very good and I am happy
The executive over call was responsible and solved my queries to the moment in perfect way. Thank you so much,,Payment related Queries,Payment related Queries - The executive over call was responsible and solved my queries to the moment in perfect way. Thank yo
Very good explanation,,Wrong,Wrong - Very good explanation 
"is very CX, excutive in Shopzilla, ????????????Great nature ??????",,General Enquiry,"General Enquiry -   is very CX, excutive in Shopzilla, ????????????Great nature ??????"
Very good,,Delayed,Delayed - Very good 
You have not trained your  customer service executives very well. They don't have adequate information about pricing and discounts.,,Product Specific Information,Product Specific Information - You have not trained your  customer service executives very well. They don't have adequate informati
Give them option give more money and product we provide you product better than this,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Give them option give more money and product we provide you product better than this 
In my app return policy of product is valid till today but due to change in number I was unable to return the product and customer support was saying they have some data problem or what in them return policy was showing of one day before so I was unable to return wrong delievered product.,,Signup Issues,Signup Issues - In my app return policy of product is valid till today but due to change in number I was unable to r
Please try to provide more details about the delivery.,,Order status enquiry,Order status enquiry - Please try to provide more details about the delivery.
I am not happy,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I am not happy 
Not solved my issue,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Not solved my issue
Nice talking and problem solving,,Order status enquiry,Order status enquiry - Nice talking and problem solving 
Please assured more stronger steps for delivery of any kind of product earlier.,,Delayed,Delayed - Please assured more stronger steps for delivery of any kind of product earlier.
Sweetly,,Service Centres Related,Service Centres Related - Sweetly 
Bahut badhiya,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Bahut badhiya
Add the delivery histry removeand remove Search histry,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Add the delivery histry removeand remove Search histry
Return policy not good much better other company,,Product Specific Information,Product Specific Information - Return policy not good much better other company 
Excellent ??,,Life Insurance,Life Insurance - Excellent ??
Call don't pice delivery agent,,Order status enquiry,Order status enquiry - Call don't pice delivery agent 
good,,Installation/demo,Installation/demo - good 
It was good experience,,Fraudulent User,Fraudulent User - It was good experience 
Im a very old customer of Shopzilla but I'm not satisfied with cash on delivery earlier I've spent thousands on cash on delivery it was so easy i don't hv credit cards or net banking or any other so I do not order anymore although I would like to buy it's not available from your end,,Refund Enquiry,Refund Enquiry - Im a very old customer of Shopzilla but I'm not satisfied with cash on delivery earlier I've spent t
Thank you Shopzilla,,Invoice request,Invoice request - Thank you Shopzilla
Policy of coustomer satisfaction is so poor,,Priority delivery,Priority delivery - Policy of coustomer satisfaction is so poor
Good COMMMUCATION,,Invoice request,Invoice request - Good COMMMUCATION 
Shopzilla have a very carefully app. Note response customer support,,Refund Related Issues,Refund Related Issues - Shopzilla have a very carefully app. Note response customer support
KINDLY PROVIDE MORE DETAILS LIKE DELIVERY DATE UPDATION ON Shopzilla APP.,,Order status enquiry,Order status enquiry - KINDLY PROVIDE MORE DETAILS LIKE DELIVERY DATE UPDATION ON Shopzilla APP.
Please ask delivery boys to do their duties property.,,UnProfessional Behaviour,UnProfessional Behaviour - Please ask delivery boys to do their duties property.
"This is about previous call from Shopzilla,  Shopzilla was not able to contact me and still closed the ticket saying resolved. So resolved means not closing the ticket but addressing the customer issue",,Unable to track,"Unable to track - This is about previous call from Shopzilla,  Shopzilla was not able to contact me and still closed t"
G,,Order status enquiry,Order status enquiry - G 
Issue not resolved,,Return request,Return request - Issue not resolved 
super,,Installation/demo,Installation/demo - super
Very very good Shopzilla   customer service,,Payment related Queries,Payment related Queries - Very very good Shopzilla   customer service
Thanks,,Order status enquiry,Order status enquiry - Thanks 
Provide the option of different and damaged item as one single option.,,Fraudulent User,Fraudulent User - Provide the option of different and damaged item as one single option.
"I have a humble request from Shopzilla to enhance their delivery.. because this business is basically based on delivering product to customer.. and the support team is good, and they stand on my expectations.. like they have done what they can.. but other branch need to be improved..Thank you",,Priority delivery,Priority delivery - I have a humble request from Shopzilla to enhance their delivery.. because this business is basicall
My product delivery boy keep,,Installation/demo,Installation/demo - My product delivery boy keep 
My problem no solved,,Order status enquiry,Order status enquiry - My problem no solved 
Good,,Wrong,Wrong - Good 
I cannot even contact the customer support from my account. Then how can I even order item from Shopzilla.. so bad experience,,General Enquiry,General Enquiry - I cannot even contact the customer support from my account. Then how can I even order item from Shop
When I ordered the ps5 it was clearly mentioned on the product page that it was 2 days delivery means it should be deliver in monday 7th august. But now it is showing it will be delivered tomorrow. Why are you showing wrong information on the app??? Shopzilla logistics does not deliver things on time. That\u2019s why I always preferred shopping on SuperBuy because there deliver the package before the delivery date.,,Not Needed,Not Needed - When I ordered the ps5 it was clearly mentioned on the product page that it was 2 days delivery mean
Good,,Return request,Return request - Good 
Thankyou,,Installation/demo,Installation/demo - Thankyou 
Kya feedback de bhai bahut hi khrb app hai return na hone ke Karan do product use krna hoga wo bhi dono product khrb h,,Order status enquiry,Order status enquiry - Kya feedback de bhai bahut hi khrb app hai return na hone ke Karan do product use krna hoga wo bhi d
Kindly refund my money,,Not Needed,Not Needed - Kindly refund my money
Issue not resolved,,Customer Requested Modifications,Customer Requested Modifications - Issue not resolved 
Horrible response in solving my query...absolutely pathetic,,Order status enquiry,Order status enquiry - Horrible response in solving my query...absolutely pathetic 
Vikash,,Product Specific Information,Product Specific Information - Vikash
Call jaldi kiya mare or costumer ki puri help kiya kare,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Call jaldi kiya mare or costumer ki puri help kiya kare  
Very happy,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very happy 
I ordered 10kg madhur sugar but I received two packets of 1kg madhur sugar,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I ordered 10kg madhur sugar but I received two packets of 1kg madhur sugar
Very poor service and unprofessional,,Order status enquiry,Order status enquiry - Very poor service and unprofessional 
It was nice talking to you   for giving me your time,,Order status enquiry,Order status enquiry - It was nice talking to you   for giving me your time
Well done,,Priority delivery,Priority delivery - Well done 
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good 
All is well.,,Order status enquiry,Order status enquiry - All is well. 
Missing item hone ke badh company koi help   ..  koi     ..money West chala gya ... company ki tarf se frod kam Kiya gya ..,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Missing item hone ke badh company koi help   ..  koi     ..money West chala gya ... company ki tarf 
Good,,Delayed,Delayed - Good
Nice person,,Other Cashback,Other Cashback - Nice person 
Good,,UnProfessional Behaviour,UnProfessional Behaviour - Good 
Safely delivered all items,,Order status enquiry,Order status enquiry - Safely delivered all items 
Good,,Order status enquiry,Order status enquiry - Good
Thanks,,Invoice request,Invoice request - Thanks 
Give my refund,,General Enquiry,General Enquiry - Give my refund
Very Poor Service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very Poor Service
All are saying sorry and sorry repeatedly there is worst service totally unhappy ??,,Seller Cancelled Order,Seller Cancelled Order - All are saying sorry and sorry repeatedly there is worst service totally unhappy ??
ok,,Refund Enquiry,Refund Enquiry - ok
Best,,UnProfessional Behaviour,UnProfessional Behaviour - Best
I didn't find any assist from your customer se6,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I didn't find any assist from your customer se6
"Create chat support of people and not just virtual bot. Request call back sometimes don't work and in poor network issues, it is hard to communicate. Calls are sometimes put on hold for longer.",,Fraudulent User,Fraudulent User - Create chat support of people and not just virtual bot. Request call back sometimes don't work and i
The customer care executive was very polite and he was able to understand my query and redress my grievances,,Return request,Return request - The customer care executive was very polite and he was able to understand my query and redress my gr
Customer support was good and in a professional manner,,Delayed,Delayed - Customer support was good and in a professional manner
Expecting better quality products from Shopzilla..,,Damaged,Damaged - Expecting better quality products from Shopzilla..
Very good application and saporting systems,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good application and saporting systems 
I am un happy with customer care support,,General Enquiry,General Enquiry - I am un happy with customer care support
Refund for 604 amount help,,Return request,Return request - Refund for 604 amount help
She easily understand my problem and solve it,,Fraudulent User,Fraudulent User - She easily understand my problem and solve it
Gjb,,Refund Enquiry,Refund Enquiry - Gjb
Helfful person,,Return request,Return request - Helfful person
I am continuously chasing an issue from last 20 days but still I didn\u2019t get any resolution,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I am continuously chasing an issue from last 20 days but still I didn\u2019t get any resolution 
"Customer service is more professional, thanks to Shopzilla. Hope your are maintaining same services.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Customer service is more professional, thanks to Shopzilla. Hope your are maintaining same services."
I sufger,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I sufger
Y order is pending when I order with offer,,Product Specific Information,Product Specific Information - Y order is pending when I order with offer 
Thanks,,Return request,Return request - Thanks
Very nice guy,,Return request,Return request - Very nice guy
Unhappy,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Unhappy 
Poor service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Poor service
Good costmar care sarvice,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good costmar care sarvice 
Pick up poblm,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Pick up poblm
Very good,,Fraudulent User,Fraudulent User - Very good
Very good interaction,,Order status enquiry,Order status enquiry - Very good interaction
Please edd not bleach,,Not Needed,Not Needed - Please edd not bleach 
My problem solved for your customer..,,UnProfessional Behaviour,UnProfessional Behaviour - My problem solved for your customer..
Fully satisfied from executive and very thankful of your executive,,Wrong,Wrong - Fully satisfied from executive and very thankful of your executive
Thank you,,Fraudulent User,Fraudulent User - Thank you 
Don't make false commitment with your customers.,,Order status enquiry,Order status enquiry - Don't make false commitment with your customers.
the quality of call was bad,,Product Specific Information,Product Specific Information - the quality of call was bad
So good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - So good
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Tnxxx,,Refund Related Issues,Refund Related Issues - Tnxxx
Kindly manage the unnecessarily raised issues by delivery agent in exchange mobile. Do something in this regards. I have to cancel my order just because of this,,Exchange / Replacement,Exchange / Replacement - Kindly manage the unnecessarily raised issues by delivery agent in exchange mobile. Do something in 
Plz don't say my mistake sir because everyone working sometimes some mistakes is happen,,Return request,Return request - Plz don't say my mistake sir because everyone working sometimes some mistakes is happen
Good customer service,,Fraudulent User,Fraudulent User - Good customer service 
Good but   nahi,,Refund Enquiry,Refund Enquiry - Good but   nahi  
Very good ?? service,,Refund Related Issues,Refund Related Issues - Very good ?? service 
??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - ??
Waiting time for call too long please reduce the waiting time.,,Refund Enquiry,Refund Enquiry - Waiting time for call too long please reduce the waiting time.
I like discussion   agent My Problem listening carefully and with  adviceI am satisfied  Thanks   ??,,Delayed,Delayed - I like discussion   agent My Problem listening carefully and with  adviceI am satisfied  Thanks   ??
Very good customer care service,,Payment related Queries,Payment related Queries - Very good customer care service 
Please make sure on delivery agent are misguide us.,,UnProfessional Behaviour,UnProfessional Behaviour - Please make sure on delivery agent are misguide us. 
"This was 5th attempt to get my issue sorted,",,Refund Enquiry,"Refund Enquiry - This was 5th attempt to get my issue sorted, "
Happy with the conversation with the support executive .,,Other Cashback,Other Cashback - Happy with the conversation with the support executive .
Nice,,Installation/demo,Installation/demo - Nice
Thank you for customer service support,,Return request,Return request - Thank you for customer service support
Excellent service,,Signup Issues,Signup Issues - Excellent service 
Unfortunately as per Shopzilla policy my issue has not resolved but the associate try to resolve. Thanks for her initiative.,,Payment related Queries,Payment related Queries - Unfortunately as per Shopzilla policy my issue has not resolved but the associate try to resolve. Th
Very bed,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very bed 
Good job   my issue resolved ty,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good job   my issue resolved ty
Nice,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice
Nice,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice 
Im satisfied,,Return request,Return request - Im satisfied
Excellent,,General Enquiry,General Enquiry - Excellent 
